timeMS,x,y,z,yaw
1677144929157,0.0,0.0,-2.105,-180.0
1677144929190,-0.0,0.0,-2.104,179.997
1677144929238,-0.0,0.0,-2.098,179.959
1677144929285,-0.003,0.0,-2.081,179.81
1677144929332,-0.014,0.001,-2.075,179.607
1677144929379,-0.032,0.001,-2.078,179.358
1677144929426,-0.064,0.003,-2.091,179.047
1677144929473,-0.118,0.005,-2.118,178.646
1677144929521,-0.179,0.007,-2.145,178.296
1677144929569,-0.241,0.01,-2.168,178.013
1677144929616,-0.329,0.013,-2.191,177.703
1677144929664,-0.41,0.016,-2.205,177.499
1677144929712,-0.497,0.019,-2.212,177.348
1677144929759,-0.609,0.024,-2.212,177.237
1677144929806,-0.709,0.028,-2.206,177.197
1677144929853,-0.814,0.032,-2.194,177.199
1677144929900,-0.925,0.036,-2.177,177.236
1677144929946,-1.033,0.04,-2.157,177.295
1677144929993,-1.187,0.046,-2.124,177.402
1677144930039,-1.306,0.05,-2.095,177.491
1677144930084,-1.438,0.055,-2.061,177.592
1677144930131,-1.565,0.06,-2.027,177.684
1677144930178,-1.734,0.066,-1.981,177.796
1677144930226,-1.88,0.072,-1.939,177.879
1677144930272,-2.019,0.077,-1.899,177.945
1677144930318,-2.183,0.083,-1.852,178.006
1677144930364,-2.34,0.089,-1.807,178.049
1677144930411,-2.534,0.096,-1.752,178.083
1677144930458,-2.699,0.102,-1.705,178.097
1677144930505,-2.867,0.108,-1.658,178.099
1677144930552,-3.026,0.114,-1.614,178.093
1677144930598,-3.247,0.123,-1.553,178.073
1677144930645,-3.424,0.129,-1.506,178.052
1677144930693,-3.603,0.136,-1.459,178.026
1677144930741,-3.797,0.143,-1.409,177.997
1677144930788,-3.968,0.149,-1.365,177.972
1677144930834,-4.191,0.158,-1.309,177.94
1677144930880,-4.379,0.164,-1.263,177.917
1677144930927,-4.581,0.172,-1.214,177.895
1677144930975,-4.773,0.179,-1.168,177.878
1677144931022,-4.966,0.186,-1.123,177.865
1677144931069,-5.199,0.195,-1.069,177.854
1677144931116,-5.395,0.202,-1.025,177.848
1677144931162,-5.579,0.209,-0.983,177.846
1677144931209,-5.777,0.216,-0.939,177.847
1677144931256,-6.016,0.225,-0.886,177.85
1677144931304,-6.217,0.232,-0.843,177.85
1677144931350,-6.405,0.239,-0.805,177.832
1677144931397,-6.621,0.247,-0.767,177.777
1677144931445,-6.825,0.255,-0.744,177.683
1677144931492,-7.072,0.264,-0.733,177.509
1677144931540,-7.279,0.273,-0.732,177.305
1677144931586,-7.473,0.281,-0.734,177.063
1677144931634,-7.737,0.292,-0.738,176.657
1677144931681,-7.946,0.302,-0.741,176.28
1677144931728,-8.155,0.311,-0.745,175.863
1677144931774,-8.351,0.321,-0.747,175.446
1677144931820,-8.561,0.332,-0.743,174.982
1677144931868,-8.813,0.345,-0.724,174.416
1677144931914,-9.024,0.356,-0.702,173.951
1677144931961,-9.234,0.369,-0.686,173.501
1677144932007,-9.432,0.381,-0.681,173.105
1677144932054,-9.644,0.396,-0.68,172.711
1677144932100,-9.913,0.415,-0.682,172.258
1677144932147,-10.139,0.432,-0.684,171.868
1677144932194,-10.338,0.448,-0.686,171.466
1677144932241,-10.551,0.466,-0.688,170.935
1677144932287,-10.764,0.485,-0.691,170.27
1677144932334,-10.977,0.506,-0.695,169.454
1677144932380,-11.232,0.532,-0.7,168.27
1677144932428,-11.445,0.557,-0.704,167.117
1677144932475,-11.672,0.584,-0.71,165.736
1677144932522,-11.885,0.613,-0.716,164.322
1677144932569,-12.097,0.643,-0.723,162.817
1677144932615,-12.309,0.677,-0.731,161.249
1677144932663,-12.563,0.72,-0.741,159.323
1677144932708,-12.76,0.756,-0.749,157.82
1677144932756,-12.97,0.798,-0.758,156.232
1677144932804,-13.235,0.855,-0.771,154.288
1677144932851,-13.444,0.904,-0.782,152.831
1677144932897,-13.638,0.952,-0.792,151.548
1677144932944,-13.845,1.006,-0.802,150.267
1677144932991,-14.092,1.075,-0.816,148.869
1677144933039,-14.297,1.136,-0.827,147.826
1677144933085,-14.488,1.196,-0.837,146.951
1677144933130,-14.691,1.263,-0.848,146.119
1677144933178,-14.933,1.347,-0.86,145.258
1677144933226,-15.134,1.421,-0.871,144.646
1677144933273,-15.347,1.502,-0.881,144.091
1677144933320,-15.532,1.576,-0.89,143.68
1677144933366,-15.73,1.658,-0.899,143.309
1677144933412,-15.979,1.765,-0.91,142.927
1677144933459,-16.161,1.847,-0.918,142.7
1677144933507,-16.355,1.937,-0.926,142.499
1677144933554,-16.586,2.048,-0.934,142.304
1677144933600,-16.765,2.137,-0.94,142.18
1677144933648,-16.944,2.228,-0.946,142.075
1677144933694,-17.134,2.327,-0.952,141.979
1677144933741,-17.373,2.456,-0.958,141.874
1677144933787,-17.548,2.552,-0.963,141.805
1677144933834,-17.735,2.658,-0.967,141.738
1677144933881,-17.921,2.765,-0.971,141.675
1677144933928,-18.156,2.904,-0.976,141.6
1677144933974,-18.328,3.007,-0.979,141.548
1677144934023,-18.511,3.12,-0.982,141.497
1677144934070,-18.73,3.257,-0.985,141.44
1677144934117,-18.9,3.364,-0.987,141.401
1677144934164,-19.082,3.481,-0.989,141.366
1677144934211,-19.262,3.599,-0.991,141.338
1677144934258,-19.491,3.75,-0.993,141.313
1677144934305,-19.67,3.87,-0.994,141.302
1677144934351,-19.837,3.984,-0.995,141.275
1677144934398,-20.004,4.098,-0.997,141.207
1677144934445,-20.229,4.254,-0.998,141.012
1677144934493,-20.394,4.371,-1.0,140.774
1677144934540,-20.571,4.496,-1.001,140.42
1677144934586,-20.735,4.614,-1.003,139.994
1677144934633,-20.957,4.776,-1.006,139.272
1677144934679,-21.131,4.905,-1.008,138.594
1677144934727,-21.305,5.036,-1.01,137.832
1677144934773,-21.466,5.159,-1.013,137.058
1677144934819,-21.637,5.291,-1.016,136.174
1677144934866,-21.819,5.435,-1.019,135.185
1677144934914,-22.0,5.579,-1.022,134.168
1677144934961,-22.201,5.744,-1.027,133.011
1677144935007,-22.368,5.883,-1.031,132.05
1677144935053,-22.534,6.023,-1.035,131.103
1677144935098,-22.687,6.156,-1.039,130.239
1677144935146,-22.882,6.328,-1.044,129.165
1677144935193,-23.043,6.473,-1.048,128.304
1677144935239,-23.203,6.62,-1.053,127.477
1677144935286,-23.35,6.758,-1.058,126.734
1677144935334,-23.538,6.938,-1.064,125.819
1677144935381,-23.693,7.089,-1.069,125.088
1677144935428,-23.846,7.242,-1.075,124.38
1677144935475,-23.998,7.397,-1.08,123.694
1677144935522,-24.177,7.585,-1.087,122.895
1677144935570,-24.315,7.733,-1.092,122.291
1677144935615,-24.461,7.892,-1.098,121.663
1677144935660,-24.605,8.054,-1.104,121.058
1677144935706,-24.776,8.249,-1.111,120.368
1677144935753,-24.916,8.414,-1.116,119.826
1677144935800,-25.045,8.569,-1.121,119.353
1677144935848,-25.209,8.769,-1.127,118.796
1677144935896,-25.344,8.938,-1.132,118.379
1677144935942,-25.477,9.109,-1.137,118.006
1677144935988,-25.608,9.28,-1.141,117.678
1677144936035,-25.738,9.453,-1.145,117.397
1677144936083,-25.891,9.662,-1.15,117.118
1677144936129,-26.017,9.837,-1.154,116.932
1677144936176,-26.142,10.014,-1.157,116.785
1677144936223,-26.265,10.191,-1.16,116.675
1677144936269,-26.387,10.37,-1.163,116.596
